Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ignazio Abate,it ITA,DF,Milan,28,1986,27,27,"2,248",25,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
2,Christian Abbiati,it ITA,GK,Milan,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Francesco Acerbi,it ITA,DF,Sassuolo,27,1988,36,36,"3,240",36,4,0,4,4,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
4,Robert Acquafresca,it ITA,FW,Bologna,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Afriyie Acquah,gh GHA,MF,Torino,23,1992,29,22,"1,888",21,2,3,5,2,0,0,9,0,0.1,0.14,0.24,0.1,0.24,Matches
6,Claud Adjapong,it ITA,"DF,MF",Sassuolo,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,21,1993,28,21,"1,904",21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
8,Luiz Adriano,br BRA,FW,Milan,28,1987,26,12,"1,194",13.3,4,0,4,3,1,1,4,0,0.3,0,0.3,0.23,0.23,Matches
9,Rodrigo Aguirre,uy URU,FW,Udinese,20,1994,10,3,340,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,24,1990,33,30,"2,661",29.6,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
11,Arlind Ajeti,al ALB,DF,Frosinone,21,1993,16,15,"1,218",13.5,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
12,Fabrizio Alastra,it ITA,GK,Palermo,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,24,1991,10,9,702,7.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
14,Raúl Albiol,es ESP,DF,Napoli,29,1985,36,36,"3,240",36,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
15,Alex,br BRA,DF,Milan,33,1982,25,24,"2,091",23.2,3,1,4,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches
16,Allan,br BRA,MF,Napoli,24,1991,35,32,"2,818",31.3,3,5,8,3,0,0,5,0,0.1,0.16,0.26,0.1,0.26,Matches
17,Marcos Alonso,es ESP,"MF,DF",Fiorentina,24,1990,31,26,"2,347",26.1,3,4,7,3,0,0,8,0,0.12,0.15,0.27,0.12,0.27,Matches
18,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,27,1988,13,9,806,9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
19,Amauri,it ITA,FW,Torino,35,1980,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Felipe Anderson,br BRA,"FW,MF",Lazio,22,1993,35,21,"2,071",23,7,4,11,7,0,0,2,0,0.3,0.17,0.48,0.3,0.48,Matches
21,Ionuț Andrei Radu,ro ROU,GK,Inter,,,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Cristian Ansaldi,ar ARG,"MF,DF",Genoa,28,1986,24,23,"2,010",22.3,0,4,4,0,0,0,4,0,0,0.18,0.18,0,0.18,Matches
23,Luca Antei,it ITA,DF,Sassuolo,23,1992,5,4,341,3.8,0,1,1,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches
24,Luca Antonelli,it ITA,DF,Milan,28,1987,28,25,"2,338",26,3,1,4,3,0,0,2,0,0.12,0.04,0.15,0.12,0.15,Matches
25,Siniša Anđelković,si SVN,DF,Palermo,29,1986,23,21,"1,908",21.2,0,1,1,0,0,0,4,1,0,0.05,0.05,0,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Lorenzo Ariaudo,it ITA,DF,Empoli,26,1989,5,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Lorenzo Ariaudo,it ITA,DF,Sassuolo,26,1989,4,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Pablo Armero,co COL,MF,Udinese,28,1986,5,5,417,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
29,Kwadwo Asamoah,gh GHA,MF,Juventus,26,1988,11,6,569,6.3,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
30,Davide Astori,it ITA,DF,Fiorentina,28,1987,33,32,"2,901",32.2,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
31,Danilo Avelar,br BRA,MF,Torino,26,1989,6,4,344,3.8,0,2,2,0,0,0,1,0,0,0.52,0.52,0,0.52,Matches
32,Khouma Babacar,sn SEN,FW,Fiorentina,22,1993,18,11,802,8.9,5,1,6,4,1,1,2,0,0.56,0.11,0.67,0.45,0.56,Matches
33,Carlos Bacca,co COL,FW,Milan,28,1986,38,36,"3,156",35.1,18,2,20,16,2,2,2,0,0.51,0.06,0.57,0.46,0.51,Matches
34,Milan Badelj,hr CRO,MF,Fiorentina,26,1989,27,25,"2,129",23.7,1,1,2,1,0,0,8,1,0.04,0.04,0.08,0.04,0.08,Matches
35,Keita Baldé,sn SEN,FW,Lazio,20,1995,31,15,"1,777",19.7,4,2,6,4,0,0,5,0,0.2,0.1,0.3,0.2,0.3,Matches
36,Norbert Balogh,hu HUN,FW,Palermo,19,1996,4,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Mario Balotelli,it ITA,FW,Milan,24,1990,20,8,837,9.3,1,1,2,1,0,1,6,0,0.11,0.11,0.22,0.11,0.22,Matches
38,Federico Barba,it ITA,DF,Empoli,21,1993,10,10,889,9.9,0,1,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
39,Francesco Bardi,it ITA,GK,Frosinone,23,1992,2,2,119,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
40,Édgar Barreto,py PAR,MF,Sampdoria,31,1984,30,26,"2,162",24,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
41,Andrea Barzagli,it ITA,DF,Juventus,34,1981,31,31,"2,737",30.4,1,0,1,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches
42,Daniele Baselli,it ITA,MF,Torino,23,1992,35,25,"2,264",25.2,4,3,7,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28,Matches
43,Davide Bassi,it ITA,GK,Atalanta,30,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Dušan Basta,rs SRB,DF,Lazio,30,1984,23,21,"1,815",20.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
45,Vid Belec,si SVN,GK,Carpi,25,1990,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
46,Gianpaolo Bellini,it ITA,DF,Atalanta,35,1980,15,11,946,10.5,1,0,1,0,1,1,4,0,0.1,0,0.1,0,0,Matches
47,Andrea Belotti,it ITA,FW,Torino,21,1993,35,31,"2,588",28.8,12,4,16,8,4,4,4,0,0.42,0.14,0.56,0.28,0.42,Matches
48,Marco Benassi,it ITA,MF,Torino,20,1994,32,21,"1,910",21.2,3,2,5,3,0,0,7,0,0.14,0.09,0.24,0.14,0.24,Matches
49,Accursio Bentivegna,it ITA,FW,Palermo,19,1996,1,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Francesco Benussi,it ITA,GK,Carpi,33,1981,4,4,298,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Domenico Berardi,it ITA,FW,Sassuolo,20,1994,29,26,"2,167",24.1,7,6,13,4,3,4,10,1,0.29,0.25,0.54,0.17,0.42,Matches
52,Etrit Berisha,al ALB,GK,Lazio,26,1989,11,9,873,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
53,Federico Bernardeschi,it ITA,MF,Fiorentina,21,1994,33,25,"2,272",25.2,2,4,6,2,0,0,6,0,0.08,0.16,0.24,0.08,0.24,Matches
54,Andrea Bertolacci,it ITA,MF,Milan,24,1991,27,21,"1,805",20.1,1,1,2,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
55,Davide Bertoncini,it ITA,DF,Frosinone,24,1991,5,4,365,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Jonathan Biabiany,fr FRA,"MF,FW",Inter,27,1988,20,7,872,9.7,1,2,3,1,0,0,3,0,0.1,0.21,0.31,0.1,0.31,Matches
57,Matteo Bianchetti,it ITA,DF,Hellas Verona,22,1993,23,17,"1,587",17.6,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
58,Raffaele Bianco,it ITA,MF,Carpi,27,1987,26,21,"1,852",20.6,1,3,4,1,0,0,6,1,0.05,0.15,0.19,0.05,0.19,Matches
59,Lucas Biglia,ar ARG,MF,Lazio,29,1986,27,26,"2,296",25.5,4,3,7,2,2,2,10,1,0.16,0.12,0.27,0.08,0.2,Matches
60,Davide Biondini,it ITA,MF,Sassuolo,32,1983,22,12,"1,103",12.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
61,Valter Birsa,si SVN,"MF,FW",Chievo,28,1986,35,32,"2,365",26.3,6,7,13,4,2,3,4,0,0.23,0.27,0.49,0.15,0.42,Matches
62,Milan Biševac,rs SRB,DF,Lazio,31,1983,11,11,907,10.1,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
63,Luca Bittante,it ITA,DF,Empoli,21,1993,16,3,526,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Albano Bizzarri,ar ARG,GK,Chievo,37,1977,35,35,"3,150",35,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
65,Leonardo Blanchard,it ITA,DF,Frosinone,27,1988,28,27,"2,452",27.2,3,1,4,3,0,0,13,1,0.11,0.04,0.15,0.11,0.15,Matches
66,Kevin-Prince Boateng,gh GHA,MF,Milan,28,1987,11,1,200,2.2,1,0,1,1,0,0,1,0,0.45,0,0.45,0.45,0.45,Matches
67,Giacomo Bonaventura,it ITA,"MF,FW",Milan,25,1989,33,31,"2,840",31.6,6,8,14,6,0,0,8,0,0.19,0.25,0.44,0.19,0.44,Matches
68,Federico Bonazzoli,it ITA,FW,Sampdoria,18,1997,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Leonardo Bonucci,it ITA,DF,Juventus,28,1987,36,35,"3,156",35.1,3,1,4,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches
70,Marco Borriello,it ITA,FW,Carpi,33,1982,12,8,744,8.3,4,4,8,4,0,0,1,1,0.48,0.48,0.97,0.48,0.97,Matches
71,Marco Borriello,it ITA,FW,Atalanta,33,1982,15,8,855,9.5,4,0,4,3,1,1,3,0,0.42,0,0.42,0.32,0.32,Matches
72,Cesare Bovo,it ITA,DF,Torino,32,1983,21,20,"1,789",19.9,2,0,2,2,0,0,10,0,0.1,0,0.1,0.1,0.1,Matches
73,Edson Braafheid,nl NED,DF,Lazio,32,1983,5,3,336,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Franco Brienza,it ITA,"MF,FW",Bologna,36,1979,29,16,"1,686",18.7,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
75,Matteo Brighi,it ITA,MF,Bologna,34,1981,23,14,"1,466",16.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Alberto Brignoli,it ITA,GK,Sampdoria,23,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Davide Brivio,it ITA,"DF,MF",Atalanta,27,1988,14,10,"1,011",11.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
78,Željko Brkić,rs SRB,GK,Carpi,29,1986,4,3,332,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Marcelo Brozović,hr CRO,MF,Inter,22,1992,32,25,"2,390",26.6,4,5,9,4,0,0,7,0,0.15,0.19,0.34,0.15,0.34,Matches
80,Gastón Brugman,uy URU,"MF,FW",Palermo,22,1992,14,10,968,10.8,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
81,Igor Bubnjić,hr CRO,DF,Carpi,23,1992,9,8,722,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
82,Marcel Büchel,li LIE,MF,Empoli,24,1991,28,18,"1,578",17.5,2,1,3,2,0,0,10,0,0.11,0.06,0.17,0.11,0.17,Matches
83,Gianluigi Buffon,it ITA,GK,Juventus,37,1978,35,35,"3,150",35,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
84,Nicolás Burdisso,ar ARG,DF,Genoa,34,1981,28,28,"2,446",27.2,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
85,Jakub Błaszczykowski,pl POL,"MF,FW",Fiorentina,29,1985,15,9,761,8.5,2,1,3,2,0,0,1,0,0.24,0.12,0.35,0.24,0.35,Matches
86,Fabrizio Cacciatore,it ITA,DF,Chievo,28,1986,29,25,"2,313",25.7,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches
87,Martín Cáceres,uy URU,DF,Juventus,28,1987,6,5,448,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Davide Calabria,it ITA,DF,Milan,18,1996,6,3,372,4.1,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
89,José Callejón,es ESP,FW,Napoli,28,1987,38,35,"2,813",31.3,7,7,14,7,0,0,4,0,0.22,0.22,0.45,0.22,0.45,Matches
90,Michele Camporese,it ITA,DF,Empoli,23,1992,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Antonio Candreva,it ITA,"FW,MF",Lazio,28,1987,30,28,"2,187",24.3,10,3,13,4,6,8,4,0,0.41,0.12,0.53,0.16,0.29,Matches
92,Paolo Cannavaro,it ITA,DF,Sassuolo,34,1981,31,30,"2,643",29.4,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
93,Diego Capel,es ESP,"FW,MF",Genoa,27,1988,21,5,716,8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
94,Carlos Carbonero,co COL,"FW,MF",Sampdoria,25,1990,14,11,"1,033",11.5,0,3,3,0,0,0,3,0,0,0.26,0.26,0,0.26,Matches
95,Massimiliano Carlini,it ITA,"MF,FW",Frosinone,28,1986,14,2,385,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Carlos Carmona,cl CHI,MF,Atalanta,28,1987,8,5,471,5.2,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
97,Mattia Cassani,it ITA,DF,Sampdoria,31,1983,25,23,"2,032",22.6,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
98,Antonio Cassano,it ITA,"FW,MF",Sampdoria,33,1982,24,14,"1,213",13.5,2,5,7,2,0,0,1,0,0.15,0.37,0.52,0.15,0.52,Matches
99,Leandro Castán,br BRA,DF,Roma,28,1986,5,4,380,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
100,Nicolás Castillo,cl CHI,FW,Frosinone,22,1993,6,3,308,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Lucas Castro,ar ARG,MF,Chievo,26,1989,34,32,"2,785",30.9,3,1,4,3,0,0,9,0,0.1,0.03,0.13,0.1,0.13,Matches
102,Danilo Cataldi,it ITA,MF,Lazio,20,1994,20,16,"1,346",15,1,3,4,1,0,0,9,1,0.07,0.2,0.27,0.07,0.27,Matches
103,Alessio Cerci,it ITA,FW,Genoa,28,1987,11,6,546,6.1,4,2,6,1,3,3,1,0,0.66,0.33,0.99,0.16,0.49,Matches
104,Alessio Cerci,it ITA,"FW,MF",Milan,28,1987,13,8,757,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Boštjan Cesar,si SVN,DF,Chievo,33,1982,31,30,"2,717",30.2,1,0,1,1,0,0,10,1,0.03,0,0.03,0.03,0.03,Matches
106,Nathaniel Chalobah,eng ENG,"DF,MF",Napoli,20,1994,5,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Luca Checchin,it ITA,MF,Hellas Verona,18,1997,4,1,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
108,Nicolò Cherubin,it ITA,DF,Atalanta,28,1986,14,10,"1,031",11.5,1,0,1,1,0,0,1,1,0.09,0,0.09,0.09,0.09,Matches
109,Raman Chibsah,gh GHA,MF,Frosinone,22,1993,22,14,"1,159",12.9,0,2,2,0,0,0,2,1,0,0.16,0.16,0,0.16,Matches
110,Giorgio Chiellini,it ITA,DF,Juventus,30,1984,24,21,"1,787",19.9,1,0,1,1,0,0,5,1,0.05,0,0.05,0.05,0.05,Matches
111,Vlad Chiricheș,ro ROU,DF,Napoli,25,1989,8,8,697,7.7,1,0,1,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
112,Ivaylo Chochev,bg BUL,MF,Palermo,22,1993,27,21,"1,744",19.4,0,2,2,0,0,0,6,0,0,0.1,0.1,0,0.1,Matches
113,Lazaros Christodoulopoulos,gr GRE,"MF,FW",Sampdoria,28,1986,10,3,354,3.9,1,0,1,1,0,0,3,0,0.25,0,0.25,0.25,0.25,Matches
114,Luca Cigarini,it ITA,MF,Atalanta,29,1986,25,21,"1,820",20.2,2,2,4,1,1,1,10,0,0.1,0.1,0.2,0.05,0.15,Matches
115,Daniel Ciofani,it ITA,FW,Frosinone,30,1985,37,33,"2,908",32.3,9,1,10,7,2,2,1,0,0.28,0.03,0.31,0.22,0.25,Matches
116,Matteo Ciofani,it ITA,DF,Frosinone,27,1988,17,14,"1,282",14.2,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
117,Thiago Cionek,pl POL,DF,Palermo,29,1986,5,5,450,5,0,1,1,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
118,Issa Cissokho,sn SEN,MF,Genoa,30,1985,13,6,646,7.2,0,1,1,0,0,0,1,1,0,0.14,0.14,0,0.14,Matches
119,Andrea Coda,it ITA,DF,Sampdoria,30,1985,4,2,123,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
120,Isaac Cofie,gh GHA,MF,Carpi,23,1991,29,26,"2,149",23.9,0,1,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
121,Simone Colombi,it ITA,GK,Carpi,24,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Simone Colombi,it ITA,GK,Palermo,24,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Kingsley Coman,fr FRA,FW,Juventus,19,1996,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Andrea Consigli,it ITA,GK,Sassuolo,28,1987,37,37,"3,270",36.3,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
125,Kévin Constant,gn GUI,DF,Bologna,28,1987,7,3,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Andrea Conti,it ITA,"MF,DF",Atalanta,21,1994,14,10,814,9,2,1,3,2,0,0,2,1,0.22,0.11,0.33,0.22,0.33,Matches
127,Ferdinando Coppola,it ITA,GK,Hellas Verona,37,1978,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Joaquín Correa,ar ARG,"MF,FW",Sampdoria,20,1994,25,14,"1,311",14.6,3,1,4,3,0,0,6,1,0.21,0.07,0.27,0.21,0.27,Matches
129,Uroš Ćosić,rs SRB,DF,Empoli,22,1992,9,9,810,9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
130,Andrea Costa,it ITA,DF,Empoli,29,1986,24,23,"2,081",23.1,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
131,Filippo Costa,it ITA,"DF,MF",Chievo,20,1995,6,0,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Angelo da Costa Júnior,br BRA,GK,Bologna,31,1983,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
133,Tino Costa,ar ARG,MF,Fiorentina,30,1985,7,3,289,3.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
134,Tino Costa,ar ARG,MF,Genoa,30,1985,12,12,925,10.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
135,Marco Crimi,it ITA,MF,Bologna,25,1990,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Marco Crimi,it ITA,"MF,FW",Carpi,25,1990,19,10,970,10.8,0,1,1,0,0,0,9,0,0,0.09,0.09,0,0.09,Matches
137,Lorenzo Crisetig,it ITA,MF,Bologna,22,1993,5,4,355,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
138,Bryan Cristante,it ITA,MF,Palermo,20,1995,4,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Roberto Crivello,it ITA,DF,Frosinone,23,1991,17,16,"1,439",16,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
140,Daniele Croce,it ITA,MF,Empoli,32,1982,28,19,"1,789",19.9,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
141,Juan Cuadrado,co COL,"MF,FW",Juventus,27,1988,28,16,"1,724",19.2,4,5,9,4,0,0,2,0,0.21,0.26,0.47,0.21,0.47,Matches
142,Marco D'Alessandro,it ITA,"FW,MF",Atalanta,24,1991,23,11,"1,152",12.8,3,2,5,3,0,0,3,0,0.23,0.16,0.39,0.23,0.39,Matches
143,Danilo D'Ambrosio,it ITA,"DF,MF",Inter,26,1988,20,18,"1,616",18,2,0,2,2,0,0,4,1,0.11,0,0.11,0.11,0.11,Matches
144,Dario Dainelli,it ITA,DF,Chievo,36,1979,18,15,"1,378",15.3,1,0,1,1,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
145,Felipe dal Belo,br BRA,DF,Udinese,31,1984,26,26,"2,139",23.8,1,1,2,1,0,0,11,1,0.04,0.04,0.08,0.04,0.08,Matches
146,Fabio Daprelà,ch SUI,"DF,MF",Carpi,24,1991,2,0,62,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
